NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
ALUNO-1934;;;;;;;;;;;;;;;;;;;0;T;Escola Pública;Ingressante;Topázio;8.871;8,5;10;7,5;7,60;8,1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9,7;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1938;;;;;;;;;;;;;;;;;;;0;L;Escola Pública;Ingressante;Topázio;8.250;8;10;7,5;6,80;7,5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1939;;;;;;;;;;;;;;;;;;;0;L;Escola Pública;Ingressante;Ágata;6.748;8,4;6,7;7,5;4,80;6,6;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6,1;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1940;;;;;;;;;;;;;;;;;;;1;G;Escola Pública;Ingressante;Ágata;5.703;9;4,2;6,3;3,30;7,5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,2;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1942;;;;;;;;;;;;;;;;;;;1;M;Escola Pública;Ingressante;Ametista;7.496;10;10;7,5;3,00;8,1;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9,2;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1943;;;;;;;;;;;;;;;;;;;1;B;Escola Pública;Ingressante;Ametista;7.401;9,5;10;2,5;6,30;7,5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8,4;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1945;;;;;;;;;;;;;;;;;;;3;A;Rede Decisão;Veterano;Ametista;8.181;8,8;8,6;7,5;7,60;9,2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9,5;5;Nível 4 (9o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1947;;;;;;;;;;;;;;;;;;;5;B;Rede Decisão;Veterano;Ametista;8.201;7,9;7,5;7,5;7,90;8,6;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;8,6;10;Nível 4 (9o ano);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1949;;;;;;;;;;;;;;;;;;;2;N;Escola Pública;Ingressante;Topázio;8.618;9;10;7,5;8,00;9,8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9,4;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1951;;;;;;;;;;;;;;;;;;;2;R;Escola Pública;Veterano;Ágata;6.779;6,8;8,3;8,1;4,70;8,1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6,8;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1954;;;;;;;;;;;;;;;;;;;2;R;Escola Pública;Veterano;Ágata;6.621;5,3;8,3;8,1;4,70;8,1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6,8;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1956;;;;;;;;;;;;;;;;;;;3;L;Escola Pública;Veterano;Quartzo;3.603;0;0,6;7,5;3,10;6,3;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;2,5;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1957;;;;;;;;;;;;;;;;;;;1;J;Escola Pública;Veterano;Ágata;5.588;9,5;5,8;4,4;0,70;8,1;Não avaliado;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,9;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1958;;;;;;;;;;;;;;;;;;;4;G;Rede Decisão;Veterano;Ametista;7.714;7,1;8,6;6,9;5,80;8,1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;8,1;10;Nível 3 (7o e 8o ano);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1959;;;;;;;;;;;;;;;;;;;2;E;Escola Pública;Veterano;Quartzo;4.133;0;1,7;6,3;3,10;7,5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6,5;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1960;;;;;;;;;;;;;;;;;;;2;H;Escola Pública;Veterano;Quartzo;2.717;0;0,8;7,5;0,90;6,3;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;2,5;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1961;;;;;;;;;;;;;;;;;;;5;F;Rede Decisão;Veterano;Ametista;7.416;9,6;6,7;5;7,80;7,7;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;6,5;10;Nível 5 (1o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1962;;;;;;;;;;;;;;;;;;;0;L;Escola Pública;Ingressante;Ametista;7.229;8,5;6,7;7,5;5,60;7,5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7,2;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1965;;;;;;;;;;;;;;;;;;;3;F;Escola Pública;Ingressante;Quartzo;4.372;6,7;2,2;7,5;2,30;7,1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4,2;5;Nível 4 (9o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1967;;;;;;;;;;;;;;;;;;;1;R;Escola Pública;Ingressante;Ágata;5.574;8,5;5,8;7,5;2,00;7,3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5,9;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1968;;;;;;;;;;;;;;;;;;;2;K;Escola Pública;Ingressante;Ametista;6.917;7,4;7,9;7,5;4,30;7,9;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8,5;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1970;;;;;;;;;;;;;;;;;;;1;G;Escola Pública;Ingressante;Quartzo;5.507;7,4;4,6;7,5;2,40;8,1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6,6;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1972;;;;;;;;;;;;;;;;;;;1;B;Escola Pública;Veterano;Ametista;7.389;10;8,8;7,5;5,80;7,5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,4;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1976;;;;;;;;;;;;;;;;;;;3;G;Rede Decisão;Veterano;Ágata;6.047;9,2;3,9;5,6;6,50;7,7;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;6,1;5;Nível 4 (9o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1978;;;;;;;;;;;;;;;;;;;3;R;Escola Pública;Veterano;Ágata;6.343;6,7;5,8;6,9;5,80;7,5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;7,1;5;Nível 4 (9o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1979;;;;;;;;;;;;;;;;;;;3;M;Escola Pública;Veterano;Ametista;7.789;8,8;7,2;6,3;8,10;7,5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7,4;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1982;;;;;;;;;;;;;;;;;;;3;C;Escola Pública;Veterano;Ametista;7.379;9,2;5,8;7,5;6,80;7,5;Promovido de Fase;Mantido na Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não;7,2;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1984;;;;;;;;;;;;;;;;;;;5;A;Escola Pública;Veterano;Ágata;6.541;9,2;7,5;7,5;3,60;7,7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;6,9;5;Nível 6 (2o EM);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1988;;;;;;;;;;;;;;;;;;;1;C;Escola Pública;Veterano;Ágata;6.163;9;5;7,5;3,90;7,7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,3;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1992;;;;;;;;;;;;;;;;;;;2;E;Escola Pública;Veterano;Ágata;6.254;8;4,2;8,1;3,10;7,3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7,3;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1994;;;;;;;;;;;;;;;;;;;3;R;Escola Pública;Ingressante;Quartzo;4.817;10;3,3;5,6;1,80;6,9;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;Não;2,8;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-1996;;;;;;;;;;;;;;;;;;;1;A;Escola Pública;Ingressante;Ametista;6.978;8;7,5;7,5;5,00;7,5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8,4;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2003;;;;;;;;;;;;;;;;;;;1;G;Escola Pública;Veterano;Topázio;8.468;9,5;9,6;7,5;7,80;8,3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9,8;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2006;;;;;;;;;;;;;;;;;;;0;P;Escola Pública;Veterano;Ágata;5.671;8;4,2;7,5;4,60;6,3;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6,2;5;Nível 2 (5o e 6o ano);-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2007;;;;;;;;;;;;;;;;;;;5;L;Escola Pública;Ingressante;Quartzo;4.729;8,3;1,9;0;3,80;7,3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;5,1;10;Nível 5 (1o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2013;;;;;;;;;;;;;;;;;;;1;J;Escola Pública;Veterano;Topázio;8.407;9;10;7,5;5,90;7,7;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9,1;10;Nível 1 (4o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2014;;;;;;;;;;;;;;;;;;;0;K;Escola Pública;Ingressante;Ametista;8.015;10;8,3;7,5;6,50;7,8;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não avaliado;Não;7,6;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2015;;;;;;;;;;;;;;;;;;;0;J;Escola Pública;Veterano;Ametista;7.546;8;10;7,5;5,30;7,5;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8,4;5;Nível 2 (5o e 6o ano);-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2016;;;;;;;;;;;;;;;;;;;7;A;Rede Decisão;Veterano;Ágata;6.787;8,8;7,2;5,6;5,80;6,7;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;5,4;10;Nível 7 (3o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2017;;;;;;;;;;;;;;;;;;;2;L;Escola Pública;Veterano;Ágata;6.860;8,5;7,9;7,5;4,80;7,9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,1;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2020;;;;;;;;;;;;;;;;;;;3;A;Rede Decisão;Veterano;Topázio;8.614;9,6;9,7;7,5;6,70;8,8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8,7;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2024;;;;;;;;;;;;;;;;;;;1;G;Escola Pública;Veterano;Ágata;6.844;9,5;8,8;7,5;3,50;7,5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,2;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2026;;;;;;;;;;;;;;;;;;;0;O;Escola Pública;Veterano;Ametista;7.521;10;8,3;7,5;6,40;7,5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7,8;5;Nível 1 (4o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2027;;;;;;;;;;;;;;;;;;;7;A;Rede Decisão;Veterano;Ametista;7.936;7,1;8,3;7,5;7,20;8,3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;7,8;10;Nível 7 (3o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2028;;;;;;;;;;;;;;;;;;;1;J;Escola Pública;Ingressante;Ametista;7.297;9;8,8;7,5;5,30;7,9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7,8;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2029;;;;;;;;;;;;;;;;;;;3;D;Escola Pública;Ingressante;Ametista;7.983;9,6;7,5;7,5;6,00;8,3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8,7;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2030;;;;;;;;;;;;;;;;;;;1;R;Escola Pública;Veterano;Quartzo;3.827;0;3,3;7,5;0,60;7,2;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5,3;5;Nível 3 (7o e 8o ano);-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2035;;;;;;;;;;;;;;;;;;;2;B;Escola Pública;Ingressante;Ametista;6.917;7;6,7;7,5;4,80;7,5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,2;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2036;;;;;;;;;;;;;;;;;;;3;D;Escola Pública;Ingressante;Quartzo;4.892;7,1;3,3;2,5;2,30;7,5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7,8;5;Nível 4 (9o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2038;;;;;;;;;;;;;;;;;;;3;A;Escola Pública;Ingressante;Ágata;6.625;9,2;5,3;7,5;3,50;7,5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7,2;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2043;;;;;;;;;;;;;;;;;;;2;B;Rede Decisão;Veterano;Quartzo;5.075;8,9;3,8;4,4;4,30;5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5,7;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2047;;;;;;;;;;;;;;;;;;;2;R;Escola Pública;Veterano;Ametista;7.572;6,4;8,3;5;6,30;8,1;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8,4;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2051;;;;;;;;;;;;;;;;;;;2;N;Escola Pública;Veterano;Ametista;7.518;8;8,8;5,6;5,10;7,9;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7,9;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2052;;;;;;;;;;;;;;;;;;;2;J;Escola Pública;Veterano;Ametista;7.186;8,5;8,8;7,5;3,40;7,5;Alocado em Fase anterior;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7,1;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2054;;;;;;;;;;;;;;;;;;;2;K;Escola Pública;Veterano;Quartzo;4.396;9;3,8;5,6;1,30;6,9;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;3,7;5;Nível 4 (9o ano);-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2058;;;;;;;;;;;;;;;;;;;4;E;Escola Pública;Veterano;Ametista;7.117;8,8;8,3;7,5;5,50;7,5;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;7,3;5;Nível 5 (1o EM);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2060;;;;;;;;;;;;;;;;;;;0;R;Escola Pública;Ingressante;Topázio;8.775;10;10;7,5;6,60;7,5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9,8;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2062;;;;;;;;;;;;;;;;;;;0;T;Escola Pública;Ingressante;Topázio;8.821;8,5;10;7,5;7,40;8,1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9,7;10;ALFA  (2o e 3o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2063;;;;;;;;;;;;;;;;;;;2;G;Rede Decisão;Ingressante;Quartzo;4.831;0;3,8;7,5;3,40;6,7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4,9;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2066;;;;;;;;;;;;;;;;;;;2;C;Escola Pública;Veterano;Ágata;6.511;7,9;2,1;7,5;5,20;7,7;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8,7;10;Nível 2 (5o e 6o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2071;;;;;;;;;;;;;;;;;;;2;K;Escola Pública;Veterano;Quartzo;3.996;10;1,3;5,6;1,30;6,9;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;3,7;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2072;;;;;;;;;;;;;;;;;;;2;R;Escola Pública;Veterano;Ágata;5.664;9,5;5,8;5,6;2,00;8,1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7,6;2,5;Nível 5 (1o EM);-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2073;;;;;;;;;;;;;;;;;;;0;L;Escola Pública;Ingressante;Ágata;6.606;9;6,7;7,5;4,90;7,2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7,1;5;Nível 1 (4o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2076;;;;;;;;;;;;;;;;;;;3;J;Rede Decisão;Veterano;Ametista;7.422;7,5;8,6;6,3;6,90;7,5;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8,5;5;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2077;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;K;2022;Não;7.675.509.353.106.840;245;66;6;Ametista;Destaque: A sua boa entrega das lições de casa,;Destaque: As suas boas notas na Passos Mágicos,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;1.000.002;758.170.509.886.757;7,5;8,80;8.200.000.000.000.000;9.433.333.333.333.330;;2;5.625;Mantido na Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;7.916.665;5;Fase 2 (5º e 6º ano)
ALUNO-2080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;J;2022;Não;7.117.065.047.619.040;451;69;3;Ametista;Destaque: A sua boa entrega das lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;1.000.002;8.071.428.571.428.570;7,5;5,00;5;5;;3;6,25;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;8.055.553.333.333.330;5;Fase 3 (7º e 8º ano)
ALUNO-2081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;L;2019;Não;7.232.336.307.992.200;415;61;12;Ametista;Destaque: A sua boa entrega das lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;641.668;8.557.504.873.294.340;7,5;7,00;7;7,5;;3;6.458.333.333.333.330;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7.833.336.666.666.660;5;Fase 3 (7º e 8º ano)
ALUNO-2082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;K;2022;Não;7.741.668.666.666.660;221;35;2;Ametista;Destaque: A sua boa entrega das lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;9.000.020.000.000.000;9;7,5;5,50;3;8;;3;6,25;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,5;10;Fase 2 (5º e 6º ano)
ALUNO-2083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;U;2022;Não;7.406.743.477.025.890;357;93;7;Ametista;Destaque: A sua boa entrega das lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;1.000.002;9.314.954.051.796.150;7,5;5,50;5;6,5;;2;59.375;Promovido de Fase;Promovido de Fase;;;Não;Não;791.667;5;Fase 2 (5º e 6º ano)
ALUNO-2084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;K;2017;Sim;7.289.795.442.501.940;397;26;6;Ametista;Destaque: A sua boa entrega das lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;916.668;8.268.065.268.065.260;5;7,14;6,5;8;7;4;765.625;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;Não;76.250.025;5;Fase 6 (2º EM)
ALUNO-2085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Z;2022;Não;5.665.746.204.655.240;767;184;9;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Melhorar: Integrar-se mais aos Princípios Passos Mágicos,;9.000.020.000.000.000;6.820.377.689.942.900;5;2,13;2.466.666.666.666.660;1,8;;2;3,75;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;550.001;10;ALFA  (2º e 3º ano)
ALUNO-2087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;A;2020;Sim;8.464.686.539.682.530;40;5;1;Topázio;Destaque: A sua boa entrega das lições de casa,;Destaque: As suas boas notas na Passos Mágicos,;Destaque: A sua boa integrações aos Princípios Passos Mágicos,;8.000.020.000.000.000;9.198.412.698.412.690;7,5;9,80;10;10;;3;7;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;;Não;Sim;950.001;5;Fase 2 (5º e 6º ano)
ALUNO-2092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;P;2022;Não;6.995.504.201.058.200;489;129;9;Ágata;Destaque: A sua boa entrega das lições de casa,;Melhorar: Empenhar-se mais nas aulas e avaliações,;Melhorar: Integrar-se mais aos Princípios Passos Mágicos,;8.500.020.000.000.000;933.862.433.862.434;6.875;6,30;5,5;7;;3;4.791.666.666.666.660;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;6.722.219.999.999.990;5;Fase 2 (5º e 6º ano)
