NOME;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021
ALUNO-823;4.0;F;Escola Pública;Veterano;Quartzo;4.957;8.3;5.6;7.5;1.3;6.9;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;4.1;5.0;Nível 6 (2o EM);-2.0
ALUNO-824;;;;;;;;;;;;;;;;;;;;
ALUNO-825;2.0;D;Escola Pública;Veterano;Ágata;6.317;8.0;5.8;7.5;5.8;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;6.0;5.0;Nível 3 (7o e 8o ano);-1.0
ALUNO-826;3.0;D;Escola Pública;Ingressante;Ametista;6.953;9.2;6.4;7.5;6.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.5;5.0;Nível 4 (9o ano);-1.0
ALUNO-827;;;;;;;;;;;;;;;;;;;;
ALUNO-828;1.0;M;Escola Pública;Veterano;Quartzo;3.117;8.5;0.0;3.8;0.0;6.3;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;3.8;5.0;Nível 3 (7o e 8o ano);-2.0
ALUNO-829;;;;;;;;;;;;;;;;;;;;
ALUNO-830;1.0;J;Escola Pública;Veterano;Ágata;6.704;6.3;7.5;7.5;4.8;7.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.8;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-831;1.0;F;Escola Pública;Veterano;Ametista;8.076;9.5;8.8;6.3;6.2;7.9;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.6;10.0;Nível 1 (4o ano);0.0
ALUNO-832;0.0;J;Escola Pública;Ingressante;Ametista;8.010;9.0;10.0;7.5;6.4;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.8;10.0;ALFA  (2o e 3o ano);0.0
ALUNO-833;4.0;E;Escola Pública;Veterano;Quartzo;4.956;10.0;1.1;7.5;2.8;6.7;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;3.7;10.0;Nível 4 (9o ano);0.0
ALUNO-834;1.0;N;Escola Pública;Veterano;Ametista;8.242;10.0;7.9;7.5;7.9;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;10.0;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-835;;;;;;;;;;;;;;;;;;;;
ALUNO-836;;;;;;;;;;;;;;;;;;;;
ALUNO-837;6.0;A;Escola Pública;Ingressante;Ametista;7.360;7.5;6.7;7.5;7.8;8.4;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.2;5.0;Nível 7 (3o EM);-1.0
ALUNO-838;;;;;;;;;;;;;;;;;;;;
ALUNO-839;4.0;L;Escola Pública;Veterano;Ametista;7.222;8.3;8.1;7.5;6.0;8.4;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;7.4;5.0;Nível 5 (1o EM);-1.0
ALUNO-840;4.0;F;Escola Pública;Ingressante;Ágata;6.098;9.2;3.1;6.9;6.2;7.7;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;6.9;5.0;Nível 5 (1o EM);-1.0
ALUNO-841;2.0;K;Escola Pública;Veterano;Ágata;6.664;9.5;7.1;7.5;4.6;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.6;5.0;Nível 3 (7o e 8o ano);-1.0
ALUNO-842;;;;;;;;;;;;;;;;;;;;
ALUNO-843;;;;;;;;;;;;;;;;;;;;
ALUNO-844;;;;;;;;;;;;;;;;;;;;
ALUNO-845;2.0;N;Escola Pública;Veterano;Ametista;7.774;8.5;7.1;7.5;7.1;8.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.6;10.0;Nível 2 (5o e 6o ano);0.0
ALUNO-846;1.0;B;Escola Pública;Veterano;Topázio;8.299;8.5;9.6;7.5;6.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.2;10.0;Nível 1 (4o ano);0.0
ALUNO-847;;;;;;;;;;;;;;;;;;;;
ALUNO-848;1.0;A;Escola Pública;Veterano;Ametista;7.096;8.5;8.3;7.5;6.1;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-849;;;;;;;;;;;;;;;;;;;;
ALUNO-850;;;;;;;;;;;;;;;;;;;;
ALUNO-851;;;;;;;;;;;;;;;;;;;;
ALUNO-852;0.0;T;Escola Pública;Ingressante;Topázio;8.275;9.0;8.3;7.5;6.1;8.1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9.7;10.0;ALFA  (2o e 3o ano);0.0
ALUNO-853;2.0;P;Escola Pública;Veterano;Ágata;6.461;6.3;4.6;7.5;4.6;7.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.2;10.0;Nível 2 (5o e 6o ano);0.0
ALUNO-854;0.0;P;Escola Pública;Ingressante;Ágata;6.069;9.0;4.2;7.5;4.5;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.3;5.0;Nível 1 (4o ano);-1.0
ALUNO-855;1.0;A;Escola Pública;Ingressante;Ametista;6.907;10.0;7.1;7.5;5.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.9;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-856;0.0;I;Escola Pública;Veterano;Quartzo;5.229;7.9;6.7;4.4;4.0;2.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;5.6;5.0;Nível 2 (5o e 6o ano);-2.0
ALUNO-857;2.0;H;Escola Pública;Ingressante;Ágata;5.819;7.4;4.2;7.5;4.6;7.2;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;4.3;10.0;Nível 2 (5o e 6o ano);0.0
ALUNO-858;;;;;;;;;;;;;;;;;;;;
ALUNO-859;;;;;;;;;;;;;;;;;;;;
ALUNO-860;;;;;;;;;;;;;;;;;;;;
ALUNO-861;1.0;F;Escola Pública;Veterano;Ametista;7.990;9.5;9.6;7.5;7.1;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-862;;;;;;;;;;;;;;;;;;;;
ALUNO-863;1.0;A;Escola Pública;Veterano;Ágata;5.788;9.5;4.2;6.3;3.6;6.9;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.3;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-864;;;;;;;;;;;;;;;;;;;;
ALUNO-865;0.0;R;Escola Pública;Ingressante;Ágata;6.012;8.0;5.8;7.5;5.3;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.2;5.0;Nível 1 (4o ano);-1.0
ALUNO-866;;;;;;;;;;;;;;;;;;;;
ALUNO-867;;;;;;;;;;;;;;;;;;;;
ALUNO-868;;;;;;;;;;;;;;;;;;;;
ALUNO-869;;;;;;;;;;;;;;;;;;;;
ALUNO-870;;;;;;;;;;;;;;;;;;;;
ALUNO-871;3.0;H;Escola Pública;Ingressante;Ágata;6.278;7.9;4.4;6.3;4.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;10.0;Nível 3 (7o e 8o ano);0.0
ALUNO-872;;;;;;;;;;;;;;;;;;;;
ALUNO-873;;;;;;;;;;;;;;;;;;;;
ALUNO-874;;;;;;;;;;;;;;;;;;;;
ALUNO-875;;;;;;;;;;;;;;;;;;;;
ALUNO-876;;;;;;;;;;;;;;;;;;;;
ALUNO-877;7.0;A;Rede Decisão;Veterano;Topázio;8.360;8.8;8.1;6.9;7.4;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.4;10.0;Nível 7 (3o EM);0.0
ALUNO-878;;;;;;;;;;;;;;;;;;;;
ALUNO-879;2.0;J;Rede Decisão;Veterano;Topázio;9.004;9.5;9.6;8.1;9.1;10.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Sim;10.0;5.0;Nível 3 (7o e 8o ano);-1.0
ALUNO-880;3.0;B;Rede Decisão;Veterano;Topázio;8.672;8.8;8.3;7.5;8.0;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9.8;10.0;Nível 3 (7o e 8o ano);0.0
ALUNO-881;4.0;F;Rede Decisão;Veterano;Topázio;8.355;10.0;7.5;7.5;7.5;8.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Sim;9.0;10.0;Nível 4 (9o ano);0.0
ALUNO-882;1.0;N;Escola Pública;Veterano;Quartzo;5.163;9.5;2.9;7.5;1.5;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.3;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-883;6.0;C;Escola Pública;Ingressante;Quartzo;5.082;7.1;5.3;0.0;3.4;8.1;Mantido na Fase + Bolsa;Promovido de Fase;Não avaliado;Não avaliado;Não;6.6;5.0;Nível 7 (3o EM);-1.0
ALUNO-884;3.0;J;Rede Decisão;Veterano;Ametista;7.981;7.5;7.8;6.3;7.3;8.3;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.8;10.0;Nível 3 (7o e 8o ano);0.0
ALUNO-885;;;;;;;;;;;;;;;;;;;;
ALUNO-886;4.0;F;Escola Pública;Veterano;Ágata;6.056;8.3;6.1;6.9;4.5;6.9;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;6.1;5.0;Nível 5 (1o EM);-1.0
ALUNO-887;0.0;O;Escola Pública;Ingressante;Ametista;8.025;9.0;10.0;7.5;6.1;8.1;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9.3;5.0;Nível 1 (4o ano);-1.0
ALUNO-888;;;;;;;;;;;;;;;;;;;;
ALUNO-889;;;;;;;;;;;;;;;;;;;;
ALUNO-890;1.0;B;Escola Pública;Veterano;Ametista;7.531;8.5;10.0;7.5;6.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;6.8;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-891;;;;;;;;;;;;;;;;;;;;
ALUNO-892;2.0;C;Escola Pública;Veterano;Ametista;7.125;9.5;5.8;7.5;5.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;10.0;Nível 2 (5o e 6o ano);0.0
